course_code,name,rating
EESC UN3201,Meredith Nettles,4.5
ECON UN3412,Michael C Best,2.6667
ENGL BC3193,Michael C Dickman,4.3333
HIST UN3644,Michael F Stanislawski,2.4819
AHIS GR8374,Michael J Waters,4.2222
POAN PS5020,Michael Ting,2.75
PSYC GU4470,Michele Miozzo,2.3333
MATH GR5010,Mikhail Smirnov,2.4706
ENGL BC3104,Monica F Cohen,3.4615
HUMA UN1121,Monica K Bulger,5.0
ECON BC1007,Mulu Gebreyohannes,3.625
ECON BC2411,Mulu Gebreyohannes,3.625
STAT UN1001,Musa Elbulok,2.0
HUMA CC1002,Nadrah S Mohammed,4.0
VIAR UN3900,Naeem Mohaiemen,5.0
VIAR UN3901,Naeem Mohaiemen,5.0
HUMA CC1002,Naomi Michalowicz,3.8
HIST GR8924,Natasha J Lightfoot,3.5
HIST UN3517,Natasha J Lightfoot,3.5
ASCM UN2113,Nathanael P Shelley,3.5
CLIA UN3660,Nelson Moe,2.7778
CLGM UN3090,Neni K Panourgia,3.1481
EAAS GU4231,Nicholas A Bartlett,2.4444
FILM GR5080,Nico Baumbach,2.0
ENGL GR6913,Nicole Wallack,2.5
PSYC UN3930,Nim L Tottenham,3.8571
PSYC GU4940,Nora Isacoff,3.0526
SIPA IA6200,Norman Bartczak,4.0
MUSI UN2582,Ole Mathisen,3.5
ANTH BC2427,Paige West,3.4118
ENGL BC3750,Pamela Cobrin,3.6667
ENTH BC3139,Patricia D Denison,2.8333
ENTH BC3136,Patricia D Denison,2.8333
SDEV GU4050,Paul A Gallay,5.0
EESC UN2300,Paul E Olsen,2.7857
HIST UN3011,Paul T Chamberlin,4.3333
POLS BC3254,Paula A Franzese,3.2
FYSB BC1002,Penelope Usher,4.7273
ENGL BC1045,Penelope Usher,4.7273
NSBV BC3594,Peter D Balsam,2.4167
FREN GU4301,Pierre Force,3.0769
ECON GR6212,Qingmin Liu,2.75
HUMA GS1002,Rachel Adams,2.65
PUBH UN3100,Rachel Moresky,4.25
PUBH P6054,Rachel Moresky,4.25
ENME E6216,Raimondo Betti,3.5
NOPM PS5100,Ramone Segree,3.0
ECON BC3063,Randall Reback,2.8667
EAEE E4222,Raymond Farinato,3.5
HUMA CC1002,Rebecca Kastleman,4.1667
PHYS BC3086,Reshmi Mukherjee,3.3333
CHEM UN1404,Robert Beer,2.5909
CHEM UN1410,Robert Beer,2.5909
CHEM UN1410,Robert Beer,2.5909
CHEM UN1410,Robert Beer,2.5909
CHEM UN1410,Robert Beer,2.5909
PSYC BC3164,Robert E Remez,2.7778
POLS UN3921,Robert L Amdur,3.6875
SOCW T7103,Robin T Kelley,4.0
BIOL UN3510,Ron M Prywes,2.5
BIOL UN3510,Ron M Prywes,2.5
BIOL UN3510,Ron M Prywes,2.5
ANTH GR6075,Rosalind Morris,3.1111
ENGL UN2826,Ross Posnock,3.0909
ENGL GR6998,Ross Posnock,3.0909
CHEM UN1405,Ruben M Savizky,2.9167
CHEM UN1405,Ruben M Savizky,2.9167
CHEM UN1405,Ruben M Savizky,2.9167
CHEM UN1405,Ruben M Savizky,2.9167
CHEM UN1403,Ruben M Savizky,2.9167
NSBV BC3594,Russell D Romeo,3.8182
HUMA UN1123,Russell J O'Rourke,4.0
MUSI GR6412,Ruth Opara,2.0
NURS N6150,Sally W Aboelela,2.4
HUMA UN1123,Samuel F Yulsman,3.0
PUNJ UN1102,Sandeep Singh,5.0
PUNJ UN2102,Sandeep Singh,5.0
ECON BC3033,Sarah M Gertler,1.0
ECON BC3033,Sarah M Gertler,1.0
PSYC GU4265,Sarah Woolley,3.0
PSYC GR6100,Sarah Woolley,3.0
SUMA PS6132,Satyajit Bose,3.8333
PSYC BC3088,Scott B Kaufman,2.75
DVGO IA9000,Scott B Martin,2.0
SPAN GR9046,Seth R Kimmel,3.6
ECON BC1007,Sharon Harrison,3.3529
GERM UN2101,Simona C Vaidean,4.0
HUMA UN1123,Sonja G Wermager,5.0
IEOR E4111,Soulaymane Kachani,3.0
ENGL CC1010,Stephanie Ahrens,1.0
EESC UN3010,Steven L Goldstein,2.4286
SCNC UN3920,Stuart J Firestein,2.7778
ECON UN1105,Sunil K Gulati,3.5492
HIST UN2323,Susan Pedersen,4.1818
HUMA UN1121,Susannah E Blair,4.2857
PSYC GU4645,Svetlana Komissarouk,3.8889
PHED BC1532,Talese Hunt,3.0
CHEM UN2494,Talha Siddiqui,3.0
CHEM UN2494,Talha Siddiqui,3.0
PSYC BC3373,Tara Well,3.2857
PSYC UN1001,Tiago Altavini,5.0
HRTS UN3996,Tracey Holland,2.0
SUMA PS5155,Travis Bradford,4.0
ECON GU4280,Tri Vi Dang,3.2
HUMA CC1002,Tyler C Archer,5.0
DNCE BC1136,Vincent Mccloskey,3.6667
DNCE BC1136,Vincent Mccloskey,3.6667
DNCE BC2138,Vincent Mccloskey,3.6667
BIOL GU4310,Vincent R Racaniello,3.5833
ENGL BC3104,Vrinda Condillac,3.4762
ENME E6320,Waiching Sun,2.0
ECON UN3025,Waldo Ojeda,4.0
ENGL CC1010,Wally Suphap,2.6
ECON UN2257,Waseem Noor,3.2857
COMS W4460,William Reinisch,2.0
PHIL GU4142,Wolfgang R Mann,2.7429
POLS BC3801,Xiaobo Lu,2.9762
ELEN E6730,Xiaodong Wang,2.875
IEOR E4707,Xunyu Zhou,1.0
HIST UN2215,Yana Skorobogatov,4.3333
COMS W4995,Yongwhan Lim,3.6667
ANTH GU4078,Zoe Crossland,2.7778
ANTH GR9999,Zoe Crossland,2.7778
EECS E6691,Zoran Kostic,2.6667
